title,artists,entry_1,weeks_1
"""Love Yourself""","Justin Bieber
","1
 2016",1
"""Sorry""","Justin Bieber
","2
 2016",1
"""One Dance""","Drake featuring Wizkid and Kyla
","3
 2016",1
"""Work""","Rihanna featuring Drake
","4
 2016",1
"""Stressed Out""","Twenty One Pilots
","5
 2016",1
"""Panda""","Desiigner
","6
 2016",1
"""Hello""","Adele
","7
 2016",1
"""Don't Let Me Down""","The Chainsmokers featuring Daya
","8
 2016",1
"""Can't Stop the Feeling!""","Justin Timberlake
","9
 2016",1
"""Closer""","The Chainsmokers featuring Halsey
","10
 2016",1
"""Cheap Thrills""","Sia featuring Sean Paul
","11
 2016",1
"""7 Years""","Lukas Graham
","12
 2016",1
"""Needed Me""","Rihanna
","13
 2016",1
"""My House""","Flo Rida
","14
 2016",1
"""I Took a Pill in Ibiza""","Mike Posner
","15
 2016",1
"""Work from Home""","Fifth Harmony featuring Ty Dolla $ign
","16
 2016",1
"""This Is What You Came For""","Calvin Harris featuring Rihanna
","17
 2016",1
"""Cake by the Ocean""","DNCE
","18
 2016",1
"""Me, Myself & I""","G-Eazy and Bebe Rexha
","19
 2016",1
"""Ride""","Twenty One Pilots
","20
 2016",1
"""Heathens""","Twenty One Pilots
","21
 2016",1
"""Pillowtalk""","Zayn
","22
 2016",1
"""Stitches""","Shawn Mendes
","23
 2016",1
"""Hotline Bling""","Drake
","24
 2016",1
"""Cold Water""","Major Lazer featuring Justin Bieber and MØ
","25
 2016",1
"""Send My Love (To Your New Lover)""","Adele
","26
 2016",1
"""Roses""","The Chainsmokers featuring Rozes
","27
 2016",1
"""Treat You Better""","Shawn Mendes
","28
 2016",1
"""Too Good""","Drake featuring Rihanna
","29
 2016",1
"""Low Life""","Future featuring The Weeknd
","30
 2016",1
"""What Do You Mean?""","Justin Bieber
","31
 2016",1
"""The Hills""","The Weeknd
","32
 2016",1
"""Just Like Fire""","Pink
","33
 2016",1
"""Broccoli""","DRAM featuring Lil Yachty
","34
 2016",1
"""Don't""","Bryson Tiller
","35
 2016",1
"""Dangerous Woman""","Ariana Grande
","36
 2016",1
"""Jumpman""","Drake and Future
","37
 2016",1
"""I Hate U, I Love U""","Gnash featuring Olivia O'Brien
","38
 2016",1
"""Here""","Alessia Cara
","39
 2016",1
"""Same Old Love""","Selena Gomez
","40
 2016",1
"""Controlla""","Drake
","41
 2016",1
"""Like I'm Gonna Lose You""","Meghan Trainor featuring John Legend
","42
 2016",1
"""One Call Away""","Charlie Puth
","43
 2016",1
"""Let It Go""","James Bay
","44
 2016",1
"""No""","Meghan Trainor
","45
 2016",1
"""Never Forget You""","Zara Larsson and MNEK
","46
 2016",1
"""Let Me Love You""","DJ Snake featuring Justin Bieber
","47
 2016",1
"""Don't Mind""","Kent Jones
","48
 2016",1
"""H.O.L.Y.""","Florida Georgia Line
","49
 2016",1
"""We Don't Talk Anymore""","Charlie Puth featuring Selena Gomez
","50
 2016",1
"""Into You""","Ariana Grande
","51
 2016",1
"""Gold""","Kiiara
","52
 2016",1
"""Exchange""","Bryson Tiller
","53
 2016",1
"""679""","Fetty Wap featuring Remy Boyz
","54
 2016",1
"""Oui""","Jeremih
","55
 2016",1
"""Hands to Myself""","Selena Gomez
","56
 2016",1
"""2 Phones""","Kevin Gates
","57
 2016",1
"""Starboy""","The Weeknd featuring Daft Punk
","58
 2016",1
"""For Free""","DJ Khaled featuring Drake
","59
 2016",1
"""Never Be Like You""","Flume featuring Kai
","60
 2016",1
"""In the Night""","The Weeknd
","61
 2016",1
"""Me Too""","Meghan Trainor
","62
 2016",1
"""Ex's & Oh's""","Elle King
","63
 2016",1
"""Die a Happy Man""","Thomas Rhett
","64
 2016",1
"""White Iverson""","Post Malone
","65
 2016",1
"""Close""","Nick Jonas featuring Tove Lo
","66
 2016",1
"""Unsteady""","X Ambassadors
","67
 2016",1
