title,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,num_artists,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,type,analysis_url,track_href,id,uri
"""One Dance""",Drake,WizKid,Kyla,,,,3,0.00784,0.791,173987,0.619,False,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,0.371,audio_features,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,1xznGGDReH1oQq0xzbwXa3,spotify:track:1xznGGDReH1oQq0xzbwXa3
"""I Took A Pill In Ibiza""",Mike Posner,Seeb,,,,,2,0.0353,0.663,197933,0.713,True,7.68e-06,7,0.0843,-6.647,0,0.112,101.965,4,0.69,audio_features,https://api.spotify.com/v1/audio-analysis/17Fd6Yb7mSbinKG8LoWfFl,https://api.spotify.com/v1/tracks/17Fd6Yb7mSbinKG8LoWfFl,17Fd6Yb7mSbinKG8LoWfFl,spotify:track:17Fd6Yb7mSbinKG8LoWfFl
"""Don't Let Me Down""",The Chainsmokers,Daya,,,,,2,0.157,0.532,208373,0.869,False,0.00508,11,0.136,-5.094,1,0.172,159.803,4,0.422,audio_features,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,1i1fxkWeaMmKEB4T7zqbzK,spotify:track:1i1fxkWeaMmKEB4T7zqbzK
"""Work""",Rihanna,Drake,,,,,2,0.0752,0.725,219320,0.534,True,0,11,0.0919,-6.238,1,0.0946,91.974,4,0.558,audio_features,https://api.spotify.com/v1/audio-analysis/14WWzenpaEgQZlqPq2nk4v,https://api.spotify.com/v1/tracks/14WWzenpaEgQZlqPq2nk4v,14WWzenpaEgQZlqPq2nk4v,spotify:track:14WWzenpaEgQZlqPq2nk4v
"""Cheap Thrills""",Sia,,,,,,1,0.0472,0.628,211667,0.698,False,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,0.732,audio_features,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j
"""Love Yourself""",Justin Bieber,,,,,,1,0.835,0.609,233720,0.378,False,0,4,0.28,-9.828,1,0.438,100.418,4,0.515,audio_features,https://api.spotify.com/v1/audio-analysis/3hB5DgAiMAQ4DzYbsMq1IT,https://api.spotify.com/v1/tracks/3hB5DgAiMAQ4DzYbsMq1IT,3hB5DgAiMAQ4DzYbsMq1IT,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT
"""Work from Home""",Fifth Harmony,Ty Dolla $ign,,,,,2,0.103,0.803,214480,0.585,False,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593,audio_features,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,4tCtwWceOPWzenK2HAIJSb,spotify:track:4tCtwWceOPWzenK2HAIJSb
"""This Is What You Came For""",Calvin Harris,Rihanna,,,,,2,0.199,0.63,222160,0.928,False,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.465,audio_features,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,0azC730Exh71aQlOt9Zj3y,spotify:track:0azC730Exh71aQlOt9Zj3y
"""7 Years""",Lukas Graham,,,,,,1,0.287,0.765,237300,0.473,False,0,10,0.391,-5.829,1,0.0514,119.992,4,0.34,audio_features,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,5kqIPrATaCc2LqxVWzQGbk,spotify:track:5kqIPrATaCc2LqxVWzQGbk
"""Faded""",Alan Walker,,,,,,1,0.0291,0.589,212627,0.651,False,3.2e-06,6,0.111,-5.097,1,0.0306,90.011,4,0.166,audio_features,https://api.spotify.com/v1/audio-analysis/1brwdYwjltrJo7WHpIvbYt,https://api.spotify.com/v1/tracks/1brwdYwjltrJo7WHpIvbYt,1brwdYwjltrJo7WHpIvbYt,spotify:track:1brwdYwjltrJo7WHpIvbYt
