title,artist_1,artist_2,artist_3,artist_4,artist_5,num_artists,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,type,analysis_url,track_href,id,uri
"""Shape of You""",Ed Sheeran,,,,,1,0.581,0.825,233713,0.652,False,0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931,audio_features,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3
"""Despacito""",Luis Fonsi,Daddy Yankee,Justin Bieber,,,3,0.229,0.694,228827,0.815,False,0,2,0.0924,-4.328,1,0.12,88.931,4,0.813,audio_features,https://api.spotify.com/v1/audio-analysis/5CtI0qwDJkDQGwXD1H1cLb,https://api.spotify.com/v1/tracks/5CtI0qwDJkDQGwXD1H1cLb,5CtI0qwDJkDQGwXD1H1cLb,spotify:track:5CtI0qwDJkDQGwXD1H1cLb
"""Despacito""",Luis Fonsi,Daddy Yankee,,,,2,0.209,0.66,228200,0.786,False,0,2,0.112,-4.757,1,0.17,177.833,4,0.846,audio_features,https://api.spotify.com/v1/audio-analysis/4aWmUDTfIPGksMNLV2rQP2,https://api.spotify.com/v1/tracks/4aWmUDTfIPGksMNLV2rQP2,4aWmUDTfIPGksMNLV2rQP2,spotify:track:4aWmUDTfIPGksMNLV2rQP2
"""Something Just Like This""",The Chainsmokers,Coldplay,,,,2,0.0498,0.617,247160,0.635,False,1.44e-05,11,0.164,-6.769,0,0.0317,103.019,4,0.446,audio_features,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,6RUKPb4LETWmmr3iAEQktW,spotify:track:6RUKPb4LETWmmr3iAEQktW
"""I'm the One""",DJ Khaled,Justin Bieber,Quavo,Chance the Rapper,Lil Wayne,5,0.0552,0.609,288600,0.668,True,0,7,0.167,-4.284,1,0.0367,80.924,4,0.811,audio_features,https://api.spotify.com/v1/audio-analysis/3DXncPQOG4VBw3QHh3S817,https://api.spotify.com/v1/tracks/3DXncPQOG4VBw3QHh3S817,3DXncPQOG4VBw3QHh3S817,spotify:track:3DXncPQOG4VBw3QHh3S817
"""HUMBLE.""",Kendrick Lamar,,,,,1,0.000282,0.908,177000,0.621,True,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,0.421,audio_features,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
"""It Ain't Me""",Kygo,Selena Gomez,,,,2,0.119,0.64,220781,0.533,False,0,0,0.0864,-6.596,1,0.0706,99.968,4,0.515,audio_features,https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe,3eR23VReFzcdmS7TYCrhCe,spotify:track:3eR23VReFzcdmS7TYCrhCe
"""Unforgettable""",French Montana,Swae Lee,,,,2,0.0293,0.726,233902,0.769,True,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733,audio_features,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,3B54sVLJ402zGa6Xm4YGNe,spotify:track:3B54sVLJ402zGa6Xm4YGNe
"""That's What I Like""",Bruno Mars,,,,,1,0.013,0.853,206693,0.56,False,0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86,audio_features,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
"""I Don’t Wanna Live Forever (Fifty Shades Darker)""",ZAYN,Taylor Swift,,,,2,0.0631,0.735,245200,0.451,False,1.3e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862,audio_features,https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0,https://api.spotify.com/v1/tracks/3NdDpSvN911VPGivFlV5d0,3NdDpSvN911VPGivFlV5d0,spotify:track:3NdDpSvN911VPGivFlV5d0
