title,artist_1,artist_2,artist_3,artist_4,artist_5,num_artists,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,type,analysis_url,track_href,id,uri
"""Perfect""",Ed Sheeran,,,,,1,0.163,0.599,263400,0.448,False,0,8,0.106,-6.312,1,0.0232,95.05,3,0.168,audio_features,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v
"""Signs""",Drake,,,,,1,0.0853,0.79,234373,0.734,False,0.00409,0,0.112,-4.66,1,0.0524,107.369,4,0.223,audio_features,https://api.spotify.com/v1/audio-analysis/6Na5uKk5SsqZimk0hAWo8y,https://api.spotify.com/v1/tracks/6Na5uKk5SsqZimk0hAWo8y,6Na5uKk5SsqZimk0hAWo8y,spotify:track:6Na5uKk5SsqZimk0hAWo8y
"""Starboy""",The Weeknd,Daft Punk,,,,2,0.141,0.678,230453,0.588,True,6.35e-06,7,0.137,-7.015,1,0.276,186.005,4,0.486,audio_features,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB
"""HUMBLE.""",Kendrick Lamar,,,,,1,0.000282,0.908,177000,0.621,True,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,0.421,audio_features,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
"""Something Just Like This""",The Chainsmokers,Coldplay,,,,2,0.0498,0.617,247160,0.635,False,1.44e-05,11,0.164,-6.769,0,0.0317,103.019,4,0.446,audio_features,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,6RUKPb4LETWmmr3iAEQktW,spotify:track:6RUKPb4LETWmmr3iAEQktW
"""Despacito""",Luis Fonsi,Daddy Yankee,Justin Bieber,,,3,0.228,0.653,228827,0.816,False,0,2,0.0967,-4.353,1,0.167,178.086,4,0.816,audio_features,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,6rPO02ozF3bM7NnOV4h6s2,spotify:track:6rPO02ozF3bM7NnOV4h6s2
"""All I Can Think About Is You""",Coldplay,,,,,1,0.155,0.348,274587,0.712,False,0.702,5,0.0683,-6.412,1,0.0335,73.102,4,0.424,audio_features,https://api.spotify.com/v1/audio-analysis/6V6goat94tTJOWXXKZstNX,https://api.spotify.com/v1/tracks/6V6goat94tTJOWXXKZstNX,6V6goat94tTJOWXXKZstNX,spotify:track:6V6goat94tTJOWXXKZstNX
"""Patek Water""",Future,Young Thug,Offset,,,3,0.274,0.86,189480,0.561,True,0,6,0.108,-5.757,0,0.185,152.984,4,0.354,audio_features,https://api.spotify.com/v1/audio-analysis/7r6LNJT2LqpLpEyZQJPygt,https://api.spotify.com/v1/tracks/7r6LNJT2LqpLpEyZQJPygt,7r6LNJT2LqpLpEyZQJPygt,spotify:track:7r6LNJT2LqpLpEyZQJPygt
"""Believer""",Imagine Dragons,,,,,1,0.0512,0.772,204347,0.78,False,0,10,0.119,-4.288,0,0.108,124.988,4,0.719,audio_features,https://api.spotify.com/v1/audio-analysis/1NtIMM4N0cFa1dNzN15chl,https://api.spotify.com/v1/tracks/1NtIMM4N0cFa1dNzN15chl,1NtIMM4N0cFa1dNzN15chl,spotify:track:1NtIMM4N0cFa1dNzN15chl
"""Versace On The Floor""",Bruno Mars,,,,,1,0.196,0.578,261240,0.574,False,0,2,0.083,-6.209,1,0.0454,174.152,4,0.301,audio_features,https://api.spotify.com/v1/audio-analysis/0kN8xEmgMW9mh7UmDYHlJP,https://api.spotify.com/v1/tracks/0kN8xEmgMW9mh7UmDYHlJP,0kN8xEmgMW9mh7UmDYHlJP,spotify:track:0kN8xEmgMW9mh7UmDYHlJP
