artist_id,album_name
AR2XRFQ1187FB417FE,Comme Vous
ARODOO01187FB44F4A,Watkins Ale -  Music of the English Renaissance
AR9HQ6Y1187FB3C2CB,Easy Listening: Cartoon Songs
ARV8T9T1187B99F3F4,Karelian Isthmus
ARQ0HOT1187B9A25FA,In Disgust We Trust
ARB2M051187FB56FA9,The Sugar Hill Records Story
AREJ5K11187B993F5F,Changes
ARQUMH41187B9AF699,Hybrid Theory
AR9W3X91187FB3994C,Face Value
ARWNRBH1187B9B7E68,Princesses / Un Frère
AR6TD9K1187B9A207D,Backline Volume 47
ARBUOOR1187B997391,Supersonic
ARUI8651187B9ACF52,Paris s'éveille
AROATPL1187FB48E12,Strangers In The Night (Remaster)
AR531IG1187FB59B35,Roll Away
ARYZ1NG1187FB3FD40,Multipolar
ARXJSHW1187B9A2A52,Mi Alma Latina (My Latin Soul)
ARAZCWP129462A97F1,Mystic Mixes - An Exclusive Remix Collection
AREOGMA1187B9908EF,LIVE AT SWEETWATER II
ARBNXYA1187FB51C50,El Cartel: The Big Boss
ARD3ICK1187B9A56C9,Love Canticle
ARASWKT1187B9923B7,The Military Band - Salute to the Services
ARM7UY51187B993E17,Eddie Palmieri/Lala Rodrigues/Ismael Quintana - Gold 1973-1976
ARZS5VW1187FB567E8,Pieces In A Modern Style
ARX0X2D1187B99F515,Mundos Opuestos
ARH6W4X1187B99274F,In Rainbows
ARFLZK31187B9B0E15,Love Knows The Way
ARDVZTE1187FB5A0A1,Who Says You Can't Go Home
AR15YLD1187FB3D4DD,Anybody Home?
ARNLO5S1187B9B80CC,Van Halen III
ARNZPLV1187FB3DF5D,Kings of Zion
ARUACR61187FB3AB37,Stoffwächsu
ARCLBZ01187B98D025,For All Our Sins
ARP23RL1187FB497FE,Ska Wey Dat
AR03BDP1187FB5B324,3
ARRM70G1187B9A7F64,Meet Me in the City
ARU4JBP1187B99263F,Sunshine
AREZMPH11F4C83B364,The Very Best Of
ARPTHEV123E29C17B3,Immoment
ARE04031187B9AB97F,Albi Mal
ARUIRHK1187FB55534,Velvet And Lovely Lady
ARVN9FZ1187FB393F1,Snow Patrol: Sessions@AOL
AR5FP401187FB523C9,Time Out Of Mind
ARHPDQM1187FB3C318,Collins Mix
ARMRCET1187FB52049,The Dutchess
ARYLSGC11F43A69EF6,The New Sound of the Venezuelan Gozadera
ARAIABB1187B9AC6E2,Killer
ARE54I01187FB3AE3D,Moog
ARTWKNF1241B9C87E9,tiefblau
ARVBXZ01187B997092,Coming Back For More
ARS1DCR1187B9A4A56,Love Thing
ARSZX2G1187B98FCCF,Karkelo
ARH861H1187B9B799E,Mi Collection - Volume 2
AR502DZ1187B98F8E1,Songs For A Wedding - 18 Songs For That Special Day
ARFXQZA11F4C841613,My Wife And Her Husband
ARH9NBO1187FB43904,Bass Hits
ARZEBW31187FB586EA,Black Book
ARTTFGF11F4C84563C,Mui Mal_ Animal
AROSW2I1187FB44866,Greatest Salsa Classic Volumen 3
ARA1UU51187FB5A70B,American Psycho
ARFONKU11F4C8431CC,Locked 'n' Loaded
ARFUSID1241B9C9462,Ethnic Lounge 2
AR7TTCH1187FB3F95C,Carney
ARTZ90C1187FB55D81,Jimmy Wayne
ARLD4VD1187FB39009,Turn Up the Bass
AR7074B1187FB4C39B,So Deep
ARQATWU1187B98EE26,Revolution Revolucion
ARCII0J1187FB3A1B4,Horse Feathers / Animal Crackers
ARMMKRK1187B996E31,First Impressions
ARHN74X1187B98D79F,Dorkfish
ARAN38V1187FB4C4EE,Monster Monster
