artist_id,artist_mbid,artist_7did,artist_name
'AREJXK41187B9A4ACC','c43bb0d6-94d7-410f-80fb-e5a243b18d23',16971,'Rapha\xc3\xabl'
'ARODOO01187FB44F4A','60bd8a1c-c093-4849-8f28-08101ca059b1',1701,'The Baltimore Consort'
'ARJGW911187FB586CA','44b5b950-2ae2-403a-8c67-82d8fc72033d',92184,'I Hate Sally'
'ARV8T9T1187B99F3F4','efaefde1-e09b-4d49-9d8e-b1304d2ece8d',21896,'Amorphis'
'AR050VJ1187B9B13A7','37c78aeb-d196-42b5-b991-6afb4fc9bc2e',94403,'Dead Kennedys'
'AR8KUS11187B98C991','050ce7ea-0935-430f-bcec-b83e702298e',263016,'Brigada Victor Jara'
'ARB2M051187FB56FA9','336f2e14-b064-45c8-8b2a-01663a0bee64',50458,'Spoonie Gee'
'AREJ5K11187B993F5F','3c050ada-9db8-4e87-86fb-11c5294f9711',25079,'R. Carlos Nakai'
'ARQUMH41187B9AF699','f59c5520-5f46-4d2c-b2c4-822eabf53419',12873,'Linkin Park'
'ARWNTXK11EBCD7BBF','',505616,'Alain-Fran\xc3\xa7ois'
'AR9W3X91187FB3994C','401c3991-b76b-499d-8082-9f2df958ef78',1015,'Phil Collins'
'ARWNRBH1187B9B7E68','0ac4021c-ccbc-4a86-a565-83364ef51e42',244020,'Philippe Sarde'
'ARMI8BW1187FB57B2E','98b67ebc-5606-4cdb-9787-47b12cceb101',298,'Kiss'
'ARUI8651187B9ACF52','72c090b6-a68e-4cb9-b330-85278681a714',10249,'John Cale'
'AR531IG1187FB59B35','b7aa3a81-01f7-4603-905f-8de902528ba9',106482,'Back Door Slam'
'ARXJSHW1187B9A2A52','cdf09cd2-59e0-4953-839f-bea3bbb07b1',66941,'Nestor Torres'
'ARCT5P61187FB3D950','8af64037-6d26-4d24-afd8-7e085abb01b1',1563,'The Impressions'
'AR7OCK81187B98D1F1','989d5fb7-b71e-4573-8cec-6bfacc9b131e',80148,'Debbie Davies'
'ARAZCWP129462A97F1','ed2ac1e9-d51d-4eff-a2c2-85e81abd6360',19,'Bob Marley & The Wailers'
'AR202MX1187B9B0383','4910c255-cd1c-4f3e-a2c1-6e419b162220',34985,'Tanto Metro & Devonte'
'AREOGMA1187B9908EF','d13d9feb-b7c7-49f4-9b72-65e29a16aa24',50205,'Hot Tuna'
'ARBNXYA1187FB51C50','2f522f5c-111c-4ce8-8bd0-d82e97c227ad',8862,'Daddy Yankee'
'ARHQYFB1187FB4AECF','e883be93-9ba5-44f0-a207-6d5d8cd656b6',419542,'The Cortinas'
'ARJE0KX1187FB53E82','f6f76069-e47f-4f19-bee5-b6f1dd3afb2c',45249,'Energy'
'ARASWKT1187B9923B7','835b510b-73e6-4ce5-b878-9ab7941e0cd0',115770,'Felix Slatkin/Concert Arts Symphonic Band'
'ARXOTQH1187FB57084','e1009244-1bf4-4a4c-889e-0db83b9be08f',17428,'Chris Brown'
'ARH6W4X1187B99274F','a74b1b7f-71a5-4011-9441-d0b5e4122711',304,'Radiohead'
