song_id,album_name
'TRARRJL128F92DED0E','Comme Vous'
'TRARROY128F42281F7','Nobilt\xc3\xa0 di strada'
'TRARREF128F422FD96','Milking The Sacred Cow'
'TRARRVB128F92F47CA','Novas Vos Trago'
'TRARUOP12903CF2384','The War Within'
'TRARUFE128F92F5D21','Changes'
'TRARUTP128E0797FC7','Hybrid Theory'
'TRARUYJ128F9316C65','Les incontournables du Congo'
'TRARITF12903CE7DA9','Vivant'
'TRARIPU128F92FA1E1','Backline Volume 47'
'TRARIWH128E079349F','Supersonic'
'TRARIKA128F9335A8C','Multipolar'
'TRARNCP128F42AB2B0','Witness Protection'
'TRARNJN12903CE49F8','Mi Alma Latina (My Latin Soul)'
'TRARNAS128EF355915','The Impressions'
'TRARNIL12903C9A9C8','Afraid Of Change'
'TRARNZV128F930CDF',b"Screamin' and Hollerin' The Blues"
'TRARNMW128F92DE2D4','Ronde Ne Nain'
'TRARGZR128F92E28D6','LIVE AT SWEETWATER II'
'TRARGCC128F92F34B7','De Xin Ying Shou Yan Chang Hui 2006'
'TRARGLY128F935AAD5',b"Please Don't Hit Me"
'TRARGTV128F4274FB6',b"Sittin' On Chrome"
'TRARZMX128F4238B5A','RIDDIM DRIVEN - SLOW DOWN THE PACE'
'TRARZOS128F14A1E17','Energy'
'TRARZKD128F425D64D','Forever'
'TRARTEH128F423DBC1','In Rainbows'
'TRARTOQ12903CA1CA9','Love Knows The Way'
'TRARTSZ128F427642F','Anybody Home?'
'TRARTCZ128F427A176','The Biggest Thing Since Colossus'
'TRARTYH12903CF0056','His Story'
'TRARTGG128F424ABCD','The Best Of Danny Wilson'
'TRARTDG12903CA52DF','Kings of Zion'
'TRARTAR128F145F235',b"Gettin' My Mind Right"
'TRARTHV128F429B77A','Stoffw\xc3\xa4chsu'
'TRARTIV128F92F87F0','The Official Moviebox Vix Tape Vol.1'
'TRARSMV128F1469CCF','Jahmekya'
'TRARSJD128F932BAF8','For All Our Sins'
'TRARSAM128F4256E04','Vargstenen'
'TRARSFU12903CB2669','Ska Wey Dat'
'TRARSLP12903CE2AA6','Retro Years'
'TRARAKX12903CBADE2','Immoment'
'TRARAEU12903CB396C','Velvet And Lovely Lady'
'TRARAGQ12903CB6892',b"Ich will's gef\xc3\xa4hrlich"
'TRARFWJ128F9339D70','Lady Sleep'
'TRARFXI128F1468CE3','Collins Mix'
'TRARFSH128F92DFDED','Moog'
'TRARFTH128F93052CF','Coming Back For More'
'TRARFLF128F425B49','Love Thing'
'TRARFCT12903CD3545','Songs For A Wedding - 18 Songs For That Special Day'
'TRAROQC128F4273979','Donde Estan Los Ladrones'
'TRAROHB128F145CD83','The Trio'
'TRAROCB128EF35098A','Paihnidi Isorropias'
'TRAROSP128F1487270','Black Book'
'TRAROPZ128F42A8AB2','Grounded'
'TRAROPS128F92F09A5','Country Heartbreakers'
'TRARODD128F4225D3F','Greatest Salsa Classic Volumen 3'
