song_id,year
'TRARRZU128F4253CA2',2008
'TRARRJL128F92DED0E',2004
'TRARRWA128F42A0195',2007
'TRARREF128F422FD96',1982
'TRARRVB128F92F47CA',1998
'TRARRQO128F427B5F5',2004
'TRARRMK12903CDF793',2005
'TRARUOP12903CF2384',2004
'TRARUDQ128F934B0ED',2001
'TRARUFE128F92F5D21',1982
'TRARUTP128E0797FC7',2000
'TRARIRG128F147FC96',1981
'TRARIPU128F92FA1E1',2004
'TRARIZK128F92FF27A',1973
'TRARIMP128F933D217',2007
'TRARNCP128F42AB2B0',2008
'TRARNAS128EF355915',1963
'TRARNIL12903C9A9C8',2003
'TRARNZA128F424EC6A',2001
'TRARNBZ128F4238CF7',2004
'TRARGZR128F92E28D6',2004
'TRARGBM128F428F65E',2007
'TRARGLY128F935AAD5',1978
'TRARGTV128F4274FB6',1995
'TRARZBQ128F42649A6',1973
'TRARZBX12903CD70DA',2000
'TRARZBR128F934715D',2005
'TRARTEH128F423DBC1',2007
'TRARTBH128F93087A4',1986
'TRARTJL128F92CB44',1986
'TRARTSA128F4291550',2005
'TRARTCZ128F427A176',1995
'TRARTEH128F4280823',1998
'TRARTAR128F145F235',1999
'TRARTYI128F427E74C',2003
'TRARSAM128F4256E04',2007
'TRARSKA128F9336A04',2009
'TRARSKS128F4272D2F',2002
'TRARSZV12903CDB2DE',1997
'TRARAKX12903CBADE2',2009
'TRARAZI128F427F3B4',2001
'TRARAEU12903CB396C',2001
'TRARACF128F424FACF',2007
'TRARAIO128E0780FDE',2003
'TRARANL128F1478789',2006
'TRARAEG128F42647B2',1997
'TRARFWJ128F9339D70',2005
'TRARFXI128F1468CE3',1993
'TRARFAV128F428B7B2',1998
'TRARFKP12903CF5DF1',2009
'TRARFAZ128F93481AD',2009
'TRARFOC128F92ED401',2000
'TRAROQC128F4273979',1998
'TRAROSP128F1487270',2006
'TRARODV128F1460DBC',2002
'TRAROPZ128F42A8AB2',2006
'TRAROPS128F92F09A5',1959
'TRARODD128F4225D3F',1999
'TRARHCB128F148D1B0',1997
'TRARHMM128F92F2DC9',2005
'TRARHLY128F42698CA',1997
'TRARHBD128F423A0EA',2003
'TRARMYZ128F426150A',2000
'TRARMRJ128F92EBD5C',2008
'TRARMRC128F424317A',2006
'TRARMUI128F147162F',1977
'TRARMHA128F92E7D32',1982
'TRARJMX128F149BE14',1998
'TRARJEM128F92E444D',2009
'TRARJPL128F931C7D2',2009
'TRARJEK128F930B3AA',1985
'TRARJLC128F9323715',1979
'TRARCAU128F9337F05',1969
'TRARCNN12903CD5262',1993
'TRARCZH12903CF7D2F',1974
'TRARCJT128F9316BA9',2009
'TRARCNT12903CC4767',2006
'TRARCSJ12903CA71D8',2004
'TRARDHN128F4243072',1995
'TRARDOK128F9300AB5',2008
'TRARDJY128F14750EA',2002
'TRARDRX128F9325812',2004
'TRARDUI12903CBF6B6',2005
'TRARVEY128F9300AC3',2005
'TRARVSP128F4250FD6',1994
'TRARVDX128F424A397',2007
'TRARVZG128F1497359',2006
'TRARQSR128F933A1BF',1991
'TRARQSD128F427E2AA',1998
'TRARQBS128F4262E62',1983
'TRARXVP12903CF39FE',1997
'TRARXIQ128F9354D9C',2006
'TRARXGB128F42927B0',1987
'TRARXIT128F423DC97',1990
'TRARXMV128F92F59C8',2008
'TRAREZN128F424E0FA',2007
'TRARESY128F42444FC',1985
'TRAREOY128F93199EF',2007
'TRAREGG128F425A5D8',1995
'TRAREHS128F92F8E13',2009
'TRARELT128F9310B6E',2002
'TRAREDZ12903CFB6E3',2007
'TRARBGM12903CC5026',1999
'TRARBFC128EF3500F8',2004
'TRARBKD128F42BA84D',1983
'TRARBXA128F426E188',1991
'TRARBVD128F4239284',2007
'TRARBYC128F92CEF3C',1980
'TRARBGR128F42264D1',1963
'TRARBJW128E0788A1A',1999
'TRARBDK128F92C7F0',2008
'TRARBLB128F14AD018',2003
'TRARKGW128F92EB8F9',1989
'TRARKEH128F1463CB2',1975
'TRARKXM128F14911B0',1998
'TRARKDV128F42500F2',2001
'TRARYCL128F1456224',1968
'TRARYPU128F42552CF',1967
'TRARYFU12903CAE834',1994
'TRARYXL128F92F939E',2002
'TRARYDZ128F9355209',2009
'TRARPZT128F932AD66',1985
'TRARPOL128F92F5973',1999
'TRARPCK128F92FEA7F',2006
'TRARPWX128F92CD69C',2004
'TRARPOQ128F9311C86',1973
'TRARWLR128F4256B07',1998
'TRARWMG128F933667C',1983
'TRARWXF128F9353B37',1993
'TRARWQY128F1462A4C',2003
'TRARWMX128F9332CD0',1996
'TRARWHW12903CE84D3',2004
'TRARWXH128F425D881',2002
'TRAUREN128F931F5A',1986
'TRAURLY128F4274DB',2004
'TRAURRO128F1489B2C',2005
'TRAURGF128F427E9B5',1994
'TRAURRP128F4261B94',1998
'TRAURHK12903CA60F8',2009
'TRAUUIF128F93232FE',1995
'TRAUURC128E078EC6E',2000
'TRAUUQI128F92D8620',2003
'TRAUUZF128EF347CD5',1988
'TRAUIOQ128F92EDC51',1982
'TRAUIGU128F92EA6DA',1993
'TRAUISB128F423D3F0',1996
'TRAUIHC128F427EEF9',1984
'TRAUIYH128E078DA2F',2004
'TRAUIMO128F147C31C',1999
'TRAUIBK128F9345A79',1998
'TRAUNWX12903D01764',2001
'TRAUNNH12903CB038C',2006
'TRAUNND12903CD03BC',2010
'TRAUNEL128F1467D5C',1978
'TRAUGQI128F4295BD1',2006
'TRAUGNY12903CFEFB5',2004
'TRAUGTI128F4273726',2005
'TRAUGVF128F92EFCF8',1991
'TRAUGRD128F425E997',2007
'TRAUGWE128F42670D',1998
'TRAUGHD128F42A8B9',2003
'TRAUZVU12903CC050D',1964
'TRAUZLI128F427EA58',2003
'TRAUZOU128F4260C88',1962
'TRAUZLI128E0791D51',1967
'TRAUZFY128F42BCE57',2007
'TRAUZTR128F9351D2A',1972
'TRAUTCA128F429B624',1979
'TRAUTXO128F4263C8E',1965
'TRAUTKA128F428060',1994
'TRAUTNT128F933CB62',2007
'TRAUTPD128F92F1376',1991
'TRAUTOL128F42418E2',2005
'TRAUTJD128F14890F5',2006
'TRAUTAI128F4275F53',1999
'TRAUTXS128F932A629',1974
'TRAUSQP128F4230490',2000
'TRAUSMF12903CE71E5',1927
'TRAUSOM128F9337BC3',1997
'TRAUSFP128F42A6BEE',2004
'TRAUSBV128F9344D08',1997
'TRAUSHD128E0795347',2005
'TRAUAHG128F931C55F',1996
'TRAUALF128E0781331',2001
'TRAUARF128F9337BD4',2003
'TRAUAZA128F424847C',2002
'TRAUFHQ128F9304F9',2004
'TRAUFLM128F42AECDC',2005
'TRAUFCU128F42882B7',2003
'TRAUFRK128F147C548',1986
'TRAUFDN128E07926A5',2001
'TRAUOUZ128E078F8B',1988
'TRAUOEY128F421CBD3',2007
'TRAUONA128F4255A38',2005
'TRAUOPR128F933634F',1979
'TRAUOPE128EF367610',2007
'TRAUOXB128F146573',2002
'TRAUOAA128F4245ECF',2003
'TRAUOPA128F93537F2',2000
'TRAUODU128F9307467',1993
'TRAUHXR12903CBDFE4',2006
'TRAUHVP128F933657C',1998
'TRAUMHL128F930CFC',1973
'TRAUMNH128F92FB67F',1992
'TRAUMIX12903CE640C',1990
'TRAUMPU12903CBD2E2',2005
'TRAUMIT128F424DA18',2002
'TRAUMBG12903CF0D68',1978
'TRAUJTZ12903CF7BB4',1984
'TRAUJLJ128E0784E7C',2003
'TRAUJVM128F422C5A2',2008
'TRAUJMN128F421A8EC',2005
'TRAUJEB128F4240FD4',2003
'TRAUJPQ128F930D4C5',2009
'TRAUJKJ128E078FA48',2000
'TRAUCHW128F9343FE2',2007
'TRAUCME128F422A115',1997
'TRAUCPI128F4224350',1935
'TRAUCNU128F42671E',1987
'TRAUCZX128F149D9AE',1996
'TRAUCSN128F148CB99',1998
'TRAUCVY12903CF2B1E',2000
'TRAUCBH128F4275052',1982
'TRAUDHC12903CE6B13',1998
'TRAUDFG128F423AC77',1995
'TRAUDIU128F933AD92',2009
'TRAUDWB128F9318EA4',2009
'TRAUDRC128F148D15E',1988
'TRAUVAQ128F92DC677',2009
'TRAUVUF128F148D1AA',1997
'TRAUVSF128F14A0B6F',2004
'TRAUVVR128F425A925',1986
'TRAUVPX128F4274DC',2004
'TRAUVGO128F14836D',1991
'TRAUVAR12903CBD9A4',2003
'TRAUQJR128F92E5B5F',2007
'TRAUQFT128F4270904',1967
'TRAUQAP12903CB60EA',1983
'TRAUXNU12903D11493',2000
'TRAUXEU12903CD3CD7',1973
'TRAUXEL128F42683D5',2002
'TRAUXNO128F42774A0',1992
'TRAUXSK128F427C58D',2008
'TRAUENF128F931FC35',2009
'TRAUEWN128F932C32C',2009
'TRAUEIR128F934E644',2001
'TRAUEVU128F42B7B0A',1997
'TRAUEYX12903CEAF48',2005
'TRAUBDS128F931A703',2009
'TRAUBKK128F4254C97',2002
'TRAUBRC128F92EF13F',1999
'TRAUBNN128F4298B31',1997
'TRAUKYS128F14636C',1994
'TRAUKGN128F1499A8D',2006
